Positive	Negative	Text
1	-4	rapists
1	-2	denial
1	-1	knowledge
1	-1	Church's
1	-1	holocaust
1	-1	descendants
1	-1	Stop
1	-1	genocidal
1	-1	Ur
1	-1	U
1	-1	child
2	-1	supporters
1	-1	and
1	-1	all
1	-1	don't
1	-1	feel
1	-1	is
2	-1	Please
1	-1	I.Q
1	-1	one
1	-4	haters
1	-1	so
1	-1	you
1	-1	but
1	-1	it
1	-1	know
1	-1	highest
1	-1	of
1	-2	stupid
1	-3	losers
1	-1	the
1	-1	my
1	-1	or
1	-1	me
1	-1	then
1	-1	cut
1	-1	older
1	-1	did
1	-1	age
1	-1	who
1	-1	on
1	-1	than
1	-1	6months
1	-1	6kids
1	-1	going
1	-1	at
1	-1	Banna
1	-1	has
1	-1	what's
1	-1	Morena
1	-1	down
1	-1	compared
1	-2	broke
1	-1	I
1	-1	LGBT/Black
1	-1	s
1	-1	comments
1	-1	thought
2	-1	brilliant
1	-1	Dave
1	-1	idk
1	-1	Chappelle
1	-1	way
1	-1	amp
1	-1	was
1	-2	Struggle
4	-1	loved
1	-1	said
1	-1	they
1	-1	Trump's
1	-4	hated
1	-1	say
1	-1	everyone
3	-1	loves
1	-1	policies
1	-1	Pollsters
1	-1	Now
1	-4	hates
